layer,beta,experiment,success_count,total_prompts,final_accuracy
19,0.5,3,261.0,1000.0,0.261
19,0.5,4,252.0,1000.0,0.252
19,0.5,5,232.0,1000.0,0.232
19,0.5,Average,,,0.2526
19,1.0,1,688.0,1000.0,0.688
19,1.0,2,656.0,1000.0,0.656
19,1.0,3,692.0,1000.0,0.692
19,1.0,4,680.0,1000.0,0.68
19,1.0,5,658.0,1000.0,0.658
19,1.0,Average,,,0.6748
19,1.5,1,599.0,1000.0,0.599
19,1.5,2,569.0,1000.0,0.569
19,1.5,3,603.0,1000.0,0.603
19,1.5,4,620.0,1000.0,0.62
19,1.5,5,558.0,1000.0,0.558
19,1.5,Average,,,0.5898
19,2.0,1,401.0,1000.0,0.401
19,2.0,2,390.0,1000.0,0.39
19,2.0,3,377.0,1000.0,0.377
19,2.0,4,398.0,1000.0,0.398
19,2.0,5,347.0,1000.0,0.347
19,2.0,Average,,,0.3826
19,2.5,1,232.0,1000.0,0.232
19,2.5,2,216.0,1000.0,0.216
19,2.5,3,225.0,1000.0,0.225
19,2.5,4,245.0,1000.0,0.245
19,2.5,5,204.0,1000.0,0.204
19,2.5,Average,,,0.2244
19,3.0,1,138.0,1000.0,0.138
19,3.0,2,142.0,1000.0,0.142
19,3.0,3,143.0,1000.0,0.143
19,3.0,4,146.0,1000.0,0.146
19,3.0,5,128.0,1000.0,0.128
19,3.0,Average,,,0.1394
19,4.0,1,54.0,1000.0,0.054
19,4.0,2,54.0,1000.0,0.054
19,4.0,3,59.0,1000.0,0.059
19,4.0,4,67.0,1000.0,0.067
19,4.0,5,50.0,1000.0,0.05
19,4.0,Average,,,0.0567999999999999
19,5.0,1,0.0,1000.0,0.0
19,5.0,2,0.0,1000.0,0.0
19,5.0,3,0.0,1000.0,0.0
19,5.0,4,0.0,1000.0,0.0
19,5.0,5,0.0,1000.0,0.0
19,5.0,Average,,,0.0
21,0.5,1,150.0,1000.0,0.15
21,0.5,2,156.0,1000.0,0.156
21,0.5,3,140.0,1000.0,0.14
21,0.5,4,132.0,1000.0,0.132
21,0.5,5,148.0,1000.0,0.148
21,0.5,Average,,,0.1452
21,1.0,1,393.0,1000.0,0.393
21,1.0,2,367.0,1000.0,0.367
21,1.0,3,389.0,1000.0,0.389
21,1.0,4,435.0,1000.0,0.435
21,1.0,5,397.0,1000.0,0.397
21,1.0,Average,,,0.3962
21,1.5,1,270.0,1000.0,0.27
21,1.5,2,264.0,1000.0,0.264
21,1.5,3,256.0,1000.0,0.256
21,1.5,4,302.0,1000.0,0.302
21,1.5,5,275.0,1000.0,0.275
21,1.5,Average,,,0.2734
21,2.0,1,196.0,1000.0,0.196
21,2.0,2,195.0,1000.0,0.195
21,2.0,3,192.0,1000.0,0.192
21,2.0,4,203.0,1000.0,0.203
21,2.0,5,184.0,1000.0,0.184
21,2.0,Average,,,0.194
21,2.5,1,103.0,1000.0,0.103
21,2.5,2,100.0,1000.0,0.1
21,2.5,3,114.0,1000.0,0.114
21,2.5,4,106.0,1000.0,0.106
21,2.5,5,88.0,1000.0,0.088
21,2.5,Average,,,0.1022
21,3.0,1,63.0,1000.0,0.063
21,3.0,2,64.0,1000.0,0.064
21,3.0,3,69.0,1000.0,0.069
21,3.0,4,80.0,1000.0,0.08
21,3.0,5,56.0,1000.0,0.056
21,3.0,Average,,,0.0664
21,4.0,1,0.0,1000.0,0.0
21,4.0,2,0.0,1000.0,0.0
21,4.0,3,0.0,1000.0,0.0
21,4.0,4,0.0,1000.0,0.0
21,4.0,5,0.0,1000.0,0.0
21,4.0,Average,,,0.0
21,5.0,1,0.0,1000.0,0.0
21,5.0,2,0.0,1000.0,0.0
21,5.0,3,0.0,1000.0,0.0
21,5.0,4,0.0,1000.0,0.0
21,5.0,5,0.0,1000.0,0.0
21,5.0,Average,,,0.0
22,0.5,1,106.0,1000.0,0.106
22,0.5,2,100.0,1000.0,0.1
22,0.5,3,81.0,1000.0,0.081
22,0.5,4,90.0,1000.0,0.09
22,0.5,5,90.0,1000.0,0.09
22,0.5,Average,,,0.0934
22,1.0,1,199.0,1000.0,0.199
22,1.0,2,203.0,1000.0,0.203
22,1.0,3,185.0,1000.0,0.185
22,1.0,4,226.0,1000.0,0.226
22,1.0,5,200.0,1000.0,0.2
22,1.0,Average,,,0.2025999999999999
22,1.5,1,170.0,1000.0,0.17
22,1.5,2,169.0,1000.0,0.169
22,1.5,3,161.0,1000.0,0.161
22,1.5,4,198.0,1000.0,0.198
22,1.5,5,203.0,1000.0,0.203
22,1.5,Average,,,0.1802
22,2.0,1,136.0,1000.0,0.136
22,2.0,2,151.0,1000.0,0.151
22,2.0,3,151.0,1000.0,0.151
22,2.0,4,146.0,1000.0,0.146
22,2.0,5,163.0,1000.0,0.163
22,2.0,Average,,,0.1494
22,2.5,1,62.0,1000.0,0.062
22,2.5,2,75.0,1000.0,0.075
22,2.5,3,81.0,1000.0,0.081
22,2.5,4,86.0,1000.0,0.086
22,2.5,5,80.0,1000.0,0.08
22,2.5,Average,,,0.0768
22,3.0,1,7.0,1000.0,0.007
